accept;elfogad
stick;ragaszt
schedule;ütemterv, menetrend, időbeosztás
adhere;tapad, ragaszkodik
deadline;határidő
standing;álló
spring;tavasz
square;négyzet, négyszög
stain;folt, pecsét
stone;kő, (epe-vesekő)
store;üzlet
straight;egyenes
taste;íz, ízlés, megkóstol
tear;szakadás, könny
temperature;hőmérséklet
thick;vastag
thin;vékony
thousand;ezer (1000)
throw;dob, dobás
tight;szűk, szoros
tire;gumiabroncs
toe;lábujj
tongue;nyelv
tool;eszköz, szerszám
tooth;fog
top;tetejére, felső, csúcs
touch;érintés, érint
transportation;szállítás
truck;teherautó, kamion
turn;fordul
ugly;csúnya
university;egyetem
up;fel
valley;völgy
victim;áldozat
voice;hang
wall;fal
war;háború
warm;meleg
wash;mos, mosás
wave;hullám
weak;gyenge
weight;súly
west;nyugat
wide;széles, tág
wing;szárny, repülés
wood;faanyag
world;világ
yard;udvar
zero;nulla
afternoon;délután
morning;reggel, délelőtt
alive;élő
apartment;lakás
beat;üt, ver
beef;marhahús
bend;hajlít
beverage;ital, innivaló
billion;milliárd
billionaire;milliárdos
bottom;alsó, alul
dirty;piszkos
election;választás (politikai)
electric;elektromos
practice;gyakorlás
finger;ujj
hang;lóg,akaszt
author;szerző
musical;zenés, zenés film
musician;zenész
leaf;falevél
loose;kiold, meglazul, laza
noise;zaj
married;házas
mean;gondol, jelent
medicine;gyógyszer
meter;mérőeszköz
metre;méter
mix;kever
stir;kever
robber;rabló
robbery;rablás
killer;gyilkos
neighborhood;szomszédság
note;jegyzet, hangjegy
pass;elhalad, passzol
plate;tányér
